"","species","Order","phylogeny","elaboration","innovation","elaboration_superord","innovation_superord","elaboration_order","innovation_order","order_tree_elab","order_tree_inno"
"Accipiter_albogularis","Accipiter_albogularis","Accipitriformes",0.318291097765626,1.54631003607472,0.440820262290299,0.826886728449239,0.810438491912918,0.111714980772082,0.284156099725716,1.12745789729662,2.99997485940845
"Accipiter_badius","Accipiter_badius","Accipitriformes",0.320340306215024,1.60847127840681,0.388461429888833,0.740765253992965,0.839114492227139,0.0372063792106963,0.291560077876778,1.12745789729662,2.99997485940845
"Accipiter_bicolor","Accipiter_bicolor","Accipitriformes",0.308309593080508,1.35945854996634,0.530190905382296,0.658587887770838,0.821109258042599,0.0337982476906983,0.280792247968397,1.12745789729662,2.99997485940845
"Accipiter_brachyurus","Accipiter_brachyurus","Accipitriformes",NA,NA,NA,NA,NA,NA,NA,1.12745789729662,2.99997485940845
"Accipiter_brevipes","Accipiter_brevipes","Accipitriformes",0.336368180439305,1.67003084312892,0.421957591860162,0.987417351294788,0.825075507402208,0.215988927686062,0.285221166653954,1.12745789729662,2.99997485940845
"Accipiter_butleri","Accipiter_butleri","Accipitriformes",NA,NA,NA,NA,NA,NA,NA,1.12745789729662,2.99997485940845
"Accipiter_castanilius","Accipiter_castanilius","Accipitriformes",0.341108829613681,1.65221521440207,0.472012236186989,0.785427158395854,0.889629066582335,0.0401293175928598,0.310489870211896,1.12745789729662,2.99997485940845
"Accipiter_chilensis","Accipiter_chilensis","Accipitriformes",0.357341956048707,1.55757388021887,0.617663151734528,1.1856645265081,0.845329856449526,0.309438665861806,0.285092299370696,1.12745789729662,2.99997485940845
"Accipiter_chionogaster","Accipiter_chionogaster","Accipitriformes",0.389317754354882,1.5586904174503,0.757520213800278,1.45879158125509,0.866132362257194,0.483366179412603,0.255735697362686,1.12745789729662,2.99997485940845
"Accipiter_cirrocephalus","Accipiter_cirrocephalus","Accipitriformes",0.350216855893659,1.71213542275237,0.468871173644166,0.943742152953874,0.885107504019598,0.163463200924981,0.307639526088038,1.12745789729662,2.99997485940845
"Accipiter_collaris","Accipiter_collaris","Accipitriformes",0.3388361622619,1.66370653102069,0.44771428376736,0.771496275510011,0.889293469675567,0.0400229827459504,0.308408615313806,1.12745789729662,2.99997485940845
"Accipiter_cooperii","Accipiter_cooperii","Accipitriformes",0.329397752225273,1.59607426084696,0.453316742256772,0.747071997442925,0.865195025526837,0.0881525305198645,0.296460651062945,1.12745789729662,2.99997485940845
"Accipiter_erythrauchen","Accipiter_erythrauchen","Accipitriformes",0.323188335236841,1.57463064616539,0.438409550229056,0.708688273287179,0.855321100484298,0.045663241030485,0.293711177555787,1.12745789729662,2.99997485940845
"Accipiter_erythronemius","Accipiter_erythronemius","Accipitriformes",0.309134746920772,1.50057454105992,0.426483624612844,0.801360469136474,0.792116740242727,0.107369654601208,0.276322400739591,1.12745789729662,2.99997485940845
"Accipiter_erythropus","Accipiter_erythropus","Accipitriformes",0.336914181413827,1.63149306141901,0.464741383882612,0.952929736861361,0.838527813711263,0.190772416331626,0.290455850154882,1.12745789729662,2.99997485940845
"Accipiter_fasciatus","Accipiter_fasciatus","Accipitriformes",0.332415544033283,1.63227200925786,0.44275895411692,0.8878928034844,0.839915410738452,0.129114494950952,0.295156974705811,1.12745789729662,2.99997485940845
"Accipiter_francesiae","Accipiter_francesiae","Accipitriformes",0.332212916381663,1.66661250396117,0.408915048671218,0.828867576672858,0.852440838832642,0.0694439711489799,0.300412206910803,1.12745789729662,2.99997485940845
"Accipiter_gentilis","Accipiter_gentilis","Accipitriformes",0.32806803902018,1.51195069732813,0.518968518181323,0.744228465681319,0.86415683284225,0.0518730749986422,0.297842139033293,1.12745789729662,2.99997485940845
"Accipiter_griseiceps","Accipiter_griseiceps","Accipitriformes",0.333027430465948,1.65069568626341,0.429421449193406,0.807884340652337,0.861082680702205,0.0851249106380743,0.300298022113682,1.12745789729662,2.99997485940845
"Accipiter_gularis","Accipiter_gularis","Accipitriformes",0.351746054013209,1.76691796903922,0.43025600116743,0.910923249389971,0.891746031888669,0.104971591972691,0.315698576898929,1.12745789729662,2.99997485940845
"Accipiter_gundlachi","Accipiter_gundlachi","Accipitriformes",NA,NA,NA,NA,NA,NA,NA,1.12745789729662,2.99997485940845
"Accipiter_haplochrous","Accipiter_haplochrous","Accipitriformes",0.312163190431725,1.51052601320068,0.435238524418411,0.776565664416358,0.805717478978613,0.098024210507121,0.280113624320152,1.12745789729662,2.99997485940845
"Accipiter_henicogrammus","Accipiter_henicogrammus","Accipitriformes",0.328521704244107,1.42670806563956,0.575169620085051,1.14407362621495,0.76265733893393,0.323491756843673,0.249789712521488,1.12745789729662,2.99997485940845
"Accipiter_henstii","Accipiter_henstii","Accipitriformes",0.335846360845062,1.57163138392024,0.507582290583439,0.92469527656091,0.843391259534878,0.174530161167492,0.292498727885884,1.12745789729662,2.99997485940845
